Nome,Endereço,Número,Bairro,Telefone,latitude,longitude
Casa Laura Alvin,Avenida Vieira Souto,176,Ipanema,2522-3180,"-22.986681","-43.199243"
Centro Cultural Banco do Brasil,Rua Primeiro de Março,66,Centro,3808-2020,"-22.900606","-43.176517"
Centro Cultural Anglo Americano (Suassuna),Avenida das Américas,2603,Barra da Tijuca,2439-8002,"-23.000965","-43.334382"
Espaço Cultura Sergio Porto,Rua Humaitá,163,Humaitá,2535-3846,"-22.958328","-43.199558"
Sala Baden Powell,Avenida Nossa Senhora de Copacabana,360,Copacabana,2548-0421,"-22.967121","-43.180619"
Sala Cecília Meireles,Rua da Lapa,47,Lapa,2332-9223,"-22.914348","-43.178233"
Teatro Amador O Tablado,Avenida Lineu de Paula Machado,795,Lagoa,2294-7847,"-22.965087","-43.216575"
Teatro CEC Antonio Fagundes,Avenida Ayrton Senna,2541A,Barra da Tijuca,2432-4000,"-22.990025","-43.366205"
Teatro Armando Gonzaga,Avenida General Oswaldo Cordeiro de Faria,511,Marechal Hermes,2332-1040,"-22.865847","-43.373184"
Teatro Arthur Azevedo,Rua Victor Alves,454,Campo Grande,2332-7516,"-22.898420","-43.563562"
Teatro do Instituto Benjamin Constant,Avenida Pasteur,350,Urca,3478-4442,"-22.953049","-43.171969"
Teatro Bibi Ferreira,Rua Visconde de Ouro Preto,78,Botafogo,2539-4591,"-22.946069","-43.185328"
Teatro Brigitte Blair,Rua Miguel Lemos,51,Copacabana,2493-0334,"-22.977920","-43.191293"
Teatro Café Pequeno,Avenida Ataulfo de Paiva,269,Leblon,2294-4480,"-22.983817","-43.217927"
Centro Cultural Candido Mendes,Rua Joana Angélica,63,Ipanema,2267-7295,"-22.984857","-43.205058"
Teatro Carlos Gomes,Rua Pedro Primeiro,4A,Centro,2232-8701,"-22.907223","-43.182519"
Teatro João Caetano,Praça Tiradentes,,Centro,2332-9166,"-22.906390","-43.182289"
Teatro Casa da Gávea,Praça Santos Dumont,116,Gávea,2239-3511,"-22.974058","-43.226980"
Teatro Casa do Riso,Rua Adalberto Ferreira,32,Leblon,2274-4022,"-22.979878","-43.222715"
Teatro Clara Nunes,Rua Marquês de São Vicente,52,Gávea,2274-9696,"-22.975621","-43.228071"
Teatro da Praia,Rua Francisco Sá,88,Copacabana,2267-7749,"-22.983633","-43.193341"
Teatro das Artes,Rua Marquês de São Vicente,52,Gávea,2540-6004,"-22.975730","-43.228284"
Teatro do Jockey,Rua Bartolomeu Mitre,1110,Jardim Botânico,2540-9853,"-22.976997","-43.224933"
Teatro dos Grandes Atores,Avenida das Américas, 3555,Barra da Tijuca,3325-1645,"-23.000442","-43.349943"
Teatro dos Quatro,Rua Marquês de São Vicente,52,Gávea,2239-1095,"-22.975678","-43.228018"
Teatro Dulcina,Rua Alcindo Guanabara,17,Centro,2240-4879,"-22.910700","-43.177058"
Teatro Glauce Rocha,Avenida Rio Branco,179,Centro,2220-0259,"-22.907265","-43.176726"
Teatro Gláucio Gil,Praça Cardeal Arcoverde,,Copacabana,2332-7904,"-22.965395","-43.180805"
Teatro Glória,Rua do Russel,632,Glória,2555-7262,"-22.922971","-43.172697"
Teatro Ipanema,Rua Prudente de Morais,824,Ipanema,2523-9794,"-22.985310","-43.204790"
Teatro Leblon,Rua Conde de Bernadotte,26,Leblon,2529-7700,"-22.980851","-43.222653"
Teatro Maria Clara Machado,Avenida Padre Leonel Franca,240,Gávea,2274-7722,"-22.978844","-43.230249"
Teatro Mário Lago,Campo de São Cristóvão,177,São Cristóvão,3891-1028,"-22.899178","-43.220859"
Teatro Miguel Falabella,Avenida Dom Hélder Câmara,5474,Cachambi,2597-4452,"-22.887453","-43.283012"
Teatro Municipal,Praça Marechal Floriano,,Centro,2332-9191,"-22.909392","-43.176388"
Teatro Noel Rosa,Rua São Francisco Xavier,524,Maracanã,2587-7693,"-22.910731","-43.237617"
Teatro Odylo Costa Filho,Rua São Francisco Xavier,524,Maracanã,2334-0728,"-22.910556","-43.235000"
Teatro Princesa Isabel,Avenida Princesa Isabel,186,Copacabana,2275-3346,"-22.963013","-43.174309"
Teatro Rival Petrobras,Rua Álvaro Alvim,33,Cinelândia,2240-4469,"-22.911194","-43.176263"
Teatro Thiago de Mello,Avenida das Américas,19400,Recreio dos Bandeirantes,2490-9250,"-23.020125","-43.501737"
Teatro Vanucci,Rua Marquês de São Vicente,52,Gávea,2274-7246,"-22.975678","-43.228262"
Teatro Villa Lobos,Avenida Princesa Isabel,440,Copacabana,2334-7153,"-22.961308","-43.175283"
Teatro Ziembinski,Avenida Heitor Beltrão,,Tijuca,2254-5399,"-22.920947","-43.223917"



